transaction_amount,transaction_hour,is_weekend,merchant_category,user_location,device_type,previous_transaction_gap,transaction_velocity,failed_login_attempts,account_age_days,ip_risk_score,geo_mismatch_flag,unusual_device_flag,is_fraud
2616.89,10,1,grocery,Pune,web,64.14,2,0,2277,16.6,0,0,0
4142.12,22,0,fuel,Kolkata,mobile,231.82,1,0,2306,37.2,1,0,0
4043.76,10,0,travel,Chennai,mobile,297.96,0,0,2931,31.86,0,1,0
942.84,12,0,food,Pune,web,57.6,2,0,1390,48.23,0,0,0
2428.05,18,1,food,Kolkata,mobile,91.28,2,1,1111,14.16,0,0,0
2978.76,14,0,grocery,Bangalore,mobile,13.17,1,1,119,50.91,1,0,0
4454.84,23,0,fuel,Delhi,tablet,35.88,0,0,2517,3.44,0,0,0
4034.02,6,0,grocery,Delhi,mobile,69.03,1,1,2139,14.87,0,0,0
3180.22,20,0,gaming,Bangalore,mobile,16.57,4,1,923,19.3,1,0,0
505.53,14,0,grocery,Kolkata,mobile,158.76,2,0,1222,24.89,0,0,0
3295.22,15,0,electronics,Hyderabad,mobile,249.86,5,0,487,34.82,1,0,0
3510.31,13,0,electronics,Pune,mobile,232.18,2,0,282,58.82,1,0,0
13787.59,6,1,food,Pune,web,184.69,3,0,2747,32.12,0,0,0
2908.79,14,0,fuel,Pune,mobile,175.67,3,0,1408,30.12,0,0,0
4157.48,22,0,gift_card,Bhubaneswar,tablet,150.73,1,0,1619,62.07,0,0,0
7026.96,15,1,fashion,Mumbai,mobile,244.86,1,0,1866,5.51,0,0,0
5569.19,12,0,fashion,Mumbai,mobile,448.14,2,0,770,32.93,0,0,0
8125.24,11,0,electronics,Mumbai,mobile,43.51,0,0,2932,17.94,0,0,0
957.16,20,1,travel,Kolkata,mobile,34.2,4,1,1969,31.38,0,0,0
1465.28,5,0,fashion,Bangalore,mobile,137.91,2,1,2214,77.33,0,0,0
2150.88,14,0,fuel,Delhi,web,134.0,3,0,3521,49.71,0,0,0
807.3,15,0,food,Kolkata,mobile,68.14,2,0,3513,44.21,0,0,0
3531.45,10,0,gift_card,Kolkata,mobile,2.25,4,0,1556,31.69,1,0,0
1568.17,22,1,grocery,Pune,mobile,9.32,1,0,2193,41.54,0,0,0
8794.77,12,0,grocery,Kolkata,web,87.71,2,0,2016,26.36,0,0,0
1778.41,18,0,gaming,Hyderabad,mobile,259.51,1,0,2921,39.28,0,0,0
2628.57,4,0,fashion,Delhi,web,120.06,3,0,599,53.55,0,0,0
5784.01,8,0,travel,Hyderabad,mobile,180.8,0,1,1161,24.7,0,0,0
1151.0,0,0,food,Hyderabad,tablet,205.24,2,0,1278,24.66,1,0,0
754.49,21,0,fashion,Hyderabad,mobile,43.89,0,1,275,9.59,0,0,0
3834.83,23,1,fuel,Bangalore,mobile,148.38,1,0,3258,61.41,0,0,0
4040.5,3,0,grocery,Kolkata,web,56.16,2,1,1085,16.07,0,0,0
5672.78,0,0,food,Pune,web,156.76,5,0,3055,36.66,0,0,0
4813.99,0,1,food,Delhi,mobile,7.97,1,1,346,15.69,1,0,0
4144.56,18,0,food,Bangalore,mobile,333.27,2,0,239,5.06,1,1,0
1949.75,9,0,gift_card,Hyderabad,mobile,36.66,2,0,1356,16.45,0,0,0
3964.15,13,1,fuel,Chennai,mobile,78.05,3,0,2218,19.26,0,0,0
4133.51,20,0,electronics,Bangalore,mobile,187.68,1,0,1104,58.67,0,0,0
1891.61,14,0,grocery,Hyderabad,mobile,1.42,2,0,288,25.55,0,0,0
10354.03,15,0,fashion,Mumbai,web,1.73,1,0,751,40.92,0,0,0
4665.18,12,0,food,Kolkata,mobile,258.26,3,1,2624,23.71,0,0,0
1487.82,19,0,food,Hyderabad,mobile,280.29,4,1,2340,38.09,0,0,0
5691.15,8,1,gaming,Pune,web,2.53,1,0,126,48.4,0,0,0
6329.68,3,0,fashion,Delhi,mobile,70.86,0,0,695,21.89,0,0,0
4480.8,18,0,travel,Bhubaneswar,mobile,24.21,1,0,3440,37.0,0,0,0
2791.93,23,0,fashion,Bangalore,tablet,275.75,4,2,341,22.63,0,0,0
1826.34,12,1,grocery,Kolkata,mobile,120.58,0,2,3480,23.56,0,0,0
3173.93,15,1,fashion,Kolkata,mobile,11.73,2,1,2282,10.54,0,1,0
4270.75,12,1,fuel,Pune,mobile,69.41,1,0,628,33.32,0,0,0
3392.08,11,0,fuel,Kolkata,mobile,205.17,1,0,2786,16.71,0,0,0
8352.13,13,0,fuel,Mumbai,mobile,188.41,2,0,1667,28.7,0,0,0
5145.51,8,0,gift_card,Chennai,web,44.42,4,1,503,15.34,0,0,0
1662.12,6,0,food,Chennai,mobile,67.71,1,0,2925,59.59,0,0,0
1354.55,19,1,fuel,Bhubaneswar,mobile,34.47,2,0,2715,38.9,0,0,0
4691.68,11,0,grocery,Mumbai,mobile,403.45,2,0,2102,31.65,0,0,0
2839.86,1,1,food,Bhubaneswar,web,51.58,1,1,3165,39.33,0,0,0
5439.56,21,0,grocery,Delhi,mobile,1.95,0,2,2776,1.83,1,0,0
4663.36,10,1,food,Kolkata,mobile,78.26,2,1,2224,19.14,0,0,0
3184.06,16,1,fashion,Pune,mobile,104.17,1,0,645,30.56,0,0,0
1678.11,2,1,fashion,Hyderabad,mobile,13.87,2,0,2673,0.58,0,0,0
841.82,22,0,travel,Chennai,mobile,57.41,2,0,2211,38.88,1,0,0
3914.49,7,1,food,Pune,mobile,1.89,0,2,248,37.63,0,1,0
1133.18,6,1,electronics,Delhi,mobile,5.96,2,1,3565,16.19,0,1,0
1621.39,15,0,grocery,Bhubaneswar,mobile,165.13,6,1,416,34.47,0,0,0
3752.41,12,0,gaming,Chennai,web,101.21,1,0,716,61.23,0,0,0
3505.19,4,0,fuel,Pune,web,94.26,1,1,823,14.55,0,0,0
1260.1,1,0,gift_card,Kolkata,web,22.54,4,0,2008,54.1,1,0,0
6789.3,20,1,electronics,Delhi,mobile,246.45,3,0,1022,52.29,0,0,0
6674.98,6,0,food,Pune,mobile,5.84,2,0,1028,20.04,0,0,0
4792.43,5,1,grocery,Hyderabad,mobile,127.64,5,0,528,29.49,0,0,0
4788.54,16,0,food,Kolkata,web,36.88,4,1,2253,19.11,0,0,0
4792.47,21,1,grocery,Kolkata,mobile,299.69,3,0,3446,29.06,0,0,0
6294.58,2,0,electronics,Hyderabad,mobile,288.06,5,1,3514,30.45,0,0,0
5230.02,2,0,electronics,Bhubaneswar,web,157.72,0,0,414,27.97,0,0,0
1795.25,15,0,grocery,Bhubaneswar,mobile,17.67,0,0,168,5.47,0,0,0
2810.6,21,0,grocery,Bangalore,web,161.39,2,0,1438,21.84,0,0,0
12872.07,15,0,travel,Kolkata,mobile,29.92,0,1,1235,16.4,0,0,0
542.22,6,0,grocery,Bangalore,web,93.55,0,0,3521,69.2,0,0,0
2327.9,19,0,travel,Kolkata,mobile,66.28,1,1,2772,31.77,0,0,0
6812.52,12,1,fuel,Delhi,mobile,426.1,3,1,3030,32.44,0,0,0
1890.01,6,0,electronics,Hyderabad,mobile,137.29,3,0,3021,60.07,0,0,0
5323.74,2,1,grocery,Mumbai,mobile,102.78,1,1,3570,29.77,0,0,0
3473.32,18,1,fashion,Bangalore,mobile,89.13,2,1,2001,31.44,0,0,0
1998.79,12,1,grocery,Kolkata,mobile,72.73,4,0,1554,22.19,0,0,0
435.08,19,0,gaming,Bhubaneswar,mobile,62.16,0,0,1259,30.41,0,0,0
3839.72,17,0,electronics,Delhi,mobile,4.84,2,0,1230,16.25,0,0,0
1763.54,6,1,fashion,Pune,mobile,320.47,4,0,2318,8.38,0,0,0
3085.66,4,0,gaming,Mumbai,mobile,35.2,1,0,1432,32.81,0,0,0
4761.19,8,0,fashion,Mumbai,mobile,19.78,1,1,3286,41.92,0,0,0
5970.51,16,0,grocery,Bhubaneswar,mobile,8.49,4,1,2218,21.79,0,0,0
2322.1,15,0,fashion,Pune,mobile,18.98,0,0,726,35.67,0,0,0
1995.78,12,0,fuel,Mumbai,mobile,839.35,3,0,1793,38.15,0,0,0
1115.23,11,0,gaming,Chennai,mobile,31.62,5,0,322,50.4,0,0,0
6160.48,9,1,grocery,Bangalore,web,170.37,2,1,2058,45.92,0,0,0
11747.42,17,1,electronics,Kolkata,mobile,54.26,2,0,3102,36.65,0,1,0
6592.4,19,0,gift_card,Kolkata,mobile,103.08,5,0,3064,69.15,0,0,0
7537.94,4,1,grocery,Bhubaneswar,mobile,35.77,3,1,2917,12.09,0,0,0
1902.84,6,0,food,Mumbai,mobile,139.07,1,0,1026,19.84,0,0,0
4573.92,20,1,food,Delhi,mobile,123.12,2,0,1686,33.01,1,0,0
5647.75,0,1,fuel,Kolkata,mobile,182.91,0,0,57,15.12,0,1,0
30.77,19,1,gaming,Delhi,mobile,103.87,0,0,2055,24.27,0,0,0
1417.93,20,0,grocery,Kolkata,mobile,108.51,0,1,823,7.49,0,0,0
9185.66,14,0,travel,Kolkata,mobile,5.95,3,0,3145,19.94,0,0,0
927.35,11,0,fuel,Pune,mobile,114.61,3,0,2517,17.85,1,0,0
8296.93,1,0,grocery,Bangalore,mobile,48.6,3,0,2978,58.64,0,0,0
921.4,16,0,food,Hyderabad,mobile,74.28,3,1,1111,9.97,0,0,0
1478.08,13,0,grocery,Chennai,mobile,246.33,1,0,482,38.89,0,0,0
4629.38,17,1,food,Bangalore,mobile,31.89,3,0,1451,20.8,0,0,0
3534.6,15,1,travel,Delhi,web,195.93,2,0,2357,17.51,0,0,0
2498.7,19,0,grocery,Delhi,mobile,13.94,1,0,2868,9.83,0,0,0
8964.38,15,0,grocery,Mumbai,web,194.54,0,0,2862,19.39,0,0,0
1142.65,2,1,grocery,Delhi,mobile,294.17,1,0,1343,27.58,0,0,0
3000.37,13,0,travel,Bangalore,web,580.0,0,1,2097,13.98,0,0,0
5024.44,7,0,food,Kolkata,mobile,41.53,2,0,1450,34.29,1,0,0
4099.49,3,0,travel,Hyderabad,mobile,73.71,2,0,1867,8.02,0,0,0
2049.49,3,1,food,Mumbai,mobile,248.34,1,1,1780,33.57,0,0,0
2109.02,20,0,fuel,Kolkata,web,326.23,2,0,1694,21.8,0,0,0
5912.42,0,0,grocery,Kolkata,tablet,24.11,2,1,2978,43.43,0,0,0
6093.45,0,1,electronics,Pune,web,196.6,3,1,3565,20.87,0,0,0
4173.81,15,1,grocery,Hyderabad,mobile,16.13,1,0,869,5.81,0,1,0
1705.82,12,0,food,Bangalore,mobile,228.1,2,0,1827,38.42,0,0,0
2162.07,13,0,fashion,Bhubaneswar,mobile,98.46,1,0,2392,54.57,0,0,0
3308.86,20,0,grocery,Mumbai,mobile,8.15,4,0,1002,41.2,0,0,0
3656.88,21,0,fuel,Bangalore,mobile,321.16,2,1,512,48.29,0,0,0
4893.04,14,0,fashion,Delhi,mobile,15.69,3,0,1066,6.26,0,0,0
2886.88,2,0,travel,Chennai,mobile,177.38,2,2,3104,67.74,0,0,0
5826.15,3,0,grocery,Bangalore,web,110.81,1,0,3489,20.3,0,0,0
5783.99,14,1,fashion,Mumbai,tablet,186.41,2,0,3357,7.28,0,0,0
7701.65,7,1,food,Bhubaneswar,mobile,164.84,3,0,1183,23.86,0,0,0
3411.92,4,0,fashion,Kolkata,mobile,12.38,1,0,647,13.7,0,0,0
4221.92,17,0,fashion,Bhubaneswar,mobile,88.32,1,2,1374,17.3,0,0,0
3050.0,21,0,travel,Kolkata,mobile,229.0,3,0,706,33.45,0,0,0
1722.74,13,1,electronics,Mumbai,mobile,116.56,1,1,1686,52.34,0,0,0
11579.59,20,0,food,Chennai,mobile,43.53,1,0,196,26.82,1,1,0
7088.63,12,0,fuel,Mumbai,tablet,273.81,1,2,729,4.78,0,0,0
5707.16,20,0,fashion,Hyderabad,web,181.97,2,0,3613,17.89,0,0,0
3329.97,12,0,electronics,Mumbai,mobile,434.82,5,0,1406,28.09,0,0,0
1601.2,10,1,grocery,Hyderabad,web,322.63,1,1,3580,30.88,0,0,0
6373.84,20,0,gaming,Bangalore,mobile,406.07,0,0,1284,18.45,0,0,0
3011.17,5,0,grocery,Hyderabad,mobile,1.0,3,2,2656,23.49,0,0,0
4481.25,7,0,fashion,Delhi,mobile,305.61,0,1,1607,28.56,1,0,0
2155.58,15,0,fuel,Delhi,mobile,44.06,2,1,2902,24.07,0,0,0
3999.16,7,0,food,Mumbai,mobile,227.5,2,0,2510,44.34,0,1,0
2261.13,0,1,food,Pune,web,2.02,1,0,239,3.97,0,0,0
2329.62,19,0,electronics,Kolkata,web,150.48,0,1,3065,14.76,0,0,0
3963.59,8,1,fuel,Hyderabad,mobile,69.22,2,0,2991,11.17,0,0,0
908.77,13,0,gaming,Chennai,mobile,579.6,3,1,3406,18.78,0,0,0
951.2,11,1,food,Delhi,mobile,557.51,0,0,3199,20.83,0,0,0
1884.76,21,1,food,Hyderabad,mobile,88.47,1,0,2711,30.67,0,0,0
2861.94,4,0,electronics,Hyderabad,web,100.01,1,0,3639,35.52,0,0,0
5941.35,20,0,grocery,Kolkata,mobile,76.14,2,0,2585,36.04,0,0,0
2981.82,13,0,fuel,Kolkata,mobile,74.35,3,0,694,11.13,0,0,0
3314.68,13,0,food,Kolkata,mobile,66.3,0,0,3104,25.67,0,0,0
2698.93,19,1,grocery,Bangalore,mobile,226.23,4,0,1899,34.44,0,0,0
4217.78,4,0,fashion,Kolkata,mobile,216.92,5,2,3015,21.36,0,0,0
1708.58,17,0,food,Hyderabad,tablet,42.52,1,0,1925,42.69,0,0,0
3099.56,8,1,electronics,Hyderabad,web,14.41,4,0,2824,27.7,0,0,0
4447.9,18,1,electronics,Kolkata,mobile,67.98,2,0,3521,46.53,0,0,0
3941.78,0,1,travel,Kolkata,mobile,19.82,0,1,3326,57.88,1,0,0
3391.06,1,0,food,Kolkata,mobile,51.44,1,0,2615,52.6,0,0,0
3420.64,20,0,fuel,Mumbai,mobile,201.02,6,1,482,17.52,0,0,0
4739.54,11,0,grocery,Bhubaneswar,mobile,42.6,1,0,1194,27.66,0,0,0
11924.07,9,0,electronics,Bangalore,web,104.88,1,0,211,56.05,0,0,1
1804.13,20,0,gift_card,Bangalore,mobile,168.89,1,3,1734,20.32,0,0,0
12134.83,18,0,food,Pune,web,170.3,3,1,213,6.79,0,0,0
1738.42,21,0,grocery,Hyderabad,mobile,373.09,3,1,2550,30.81,0,0,0
375.84,19,0,travel,Pune,mobile,54.56,0,0,648,24.95,0,0,0
2225.79,1,0,fuel,Delhi,web,58.21,2,0,246,34.1,0,0,0
4272.5,3,1,fashion,Bangalore,mobile,157.73,2,0,1451,27.36,0,0,0
10408.27,20,0,grocery,Hyderabad,mobile,27.06,2,0,1419,5.94,0,0,0
1599.46,5,0,travel,Kolkata,web,66.24,2,0,2251,46.28,0,0,0
4720.76,16,1,food,Bhubaneswar,mobile,35.69,3,0,3015,55.43,0,0,0
1046.72,22,0,food,Hyderabad,mobile,157.25,6,0,3509,69.31,0,0,0
10176.35,0,0,fashion,Delhi,mobile,53.75,5,1,3371,13.97,0,0,0
7175.26,19,0,fuel,Chennai,mobile,130.22,1,0,32,36.42,0,0,0
2333.21,9,1,fashion,Chennai,mobile,143.43,0,1,500,43.22,0,0,0
7910.41,3,0,food,Hyderabad,mobile,402.92,1,2,693,11.19,0,0,0
3086.11,0,1,electronics,Delhi,mobile,54.54,4,1,1712,52.84,0,0,0
7415.98,15,0,fuel,Kolkata,mobile,221.59,1,0,1590,64.18,0,0,0
3372.91,18,1,grocery,Bhubaneswar,mobile,37.17,2,0,3278,46.31,0,0,0
3476.87,14,1,grocery,Bangalore,mobile,92.46,5,0,1910,16.56,0,0,0
2370.26,3,0,gaming,Bhubaneswar,mobile,50.73,2,0,3618,12.45,0,1,0
5136.31,0,1,travel,Bangalore,mobile,134.72,0,0,1217,38.87,0,0,0
3664.61,16,1,fashion,Pune,web,312.14,1,0,2224,66.63,0,0,0
4790.57,18,0,grocery,Chennai,mobile,36.44,2,1,2639,30.74,0,0,0
823.13,20,0,grocery,Bhubaneswar,mobile,70.51,2,0,2973,38.51,0,0,0
7583.4,13,0,electronics,Bhubaneswar,tablet,93.42,4,0,3345,19.65,1,0,0
8800.45,8,1,travel,Delhi,web,32.65,2,1,2150,24.69,0,0,0
3652.58,14,1,electronics,Delhi,web,1.38,3,2,2885,41.59,0,0,0
11402.96,12,0,grocery,Bhubaneswar,web,212.01,3,0,1396,22.67,0,0,0
9789.5,8,1,gift_card,Pune,mobile,102.03,2,0,1605,28.85,0,0,0
5210.17,17,1,fuel,Chennai,web,71.45,2,0,2713,28.75,0,0,0
7974.82,12,0,food,Chennai,web,139.96,2,0,1931,28.74,0,0,0
6692.96,10,0,electronics,Mumbai,web,57.11,2,0,3535,24.06,0,0,0
625.24,4,0,gift_card,Pune,mobile,56.71,2,0,380,40.08,0,0,0
2740.05,18,1,fuel,Chennai,mobile,172.58,3,2,2286,12.73,0,0,0
5451.58,5,1,grocery,Pune,mobile,63.68,4,1,703,13.85,0,0,0
9167.42,2,1,electronics,Chennai,mobile,249.97,1,0,399,13.57,0,0,0
980.5,15,1,grocery,Bangalore,mobile,20.53,3,0,2979,50.87,0,0,0
670.67,17,1,food,Delhi,mobile,38.6,1,0,512,63.44,0,0,0
3225.24,9,0,travel,Hyderabad,tablet,53.56,2,0,2540,4.4,0,0,0
409.0,2,1,food,Delhi,mobile,76.85,0,0,1207,61.66,0,0,0
3145.56,1,0,travel,Bangalore,tablet,15.54,0,0,3485,10.23,0,0,0
4344.6,0,1,grocery,Delhi,mobile,9.58,3,1,3030,13.05,1,0,0
1538.1,15,1,grocery,Pune,web,19.17,4,0,3348,21.04,0,0,0
3208.2,15,0,grocery,Mumbai,mobile,26.12,3,0,1199,28.34,1,0,0
6298.85,22,0,food,Hyderabad,mobile,127.5,1,0,555,64.12,0,0,0
2217.38,21,0,grocery,Pune,mobile,181.01,5,2,3203,14.15,0,0,0
1762.98,3,0,electronics,Bangalore,mobile,108.28,1,0,2200,40.84,0,0,0
3103.6,12,0,grocery,Kolkata,web,312.86,4,0,564,24.34,0,0,0
1402.96,18,0,grocery,Bhubaneswar,mobile,59.81,5,1,396,40.57,0,0,1
10877.94,5,0,grocery,Kolkata,tablet,178.34,3,0,110,13.09,0,0,0
3447.47,15,0,fuel,Kolkata,mobile,220.57,1,2,2516,11.43,0,1,0
1916.24,3,0,gaming,Chennai,tablet,56.7,1,0,2363,31.23,0,1,0
3914.18,5,1,gaming,Bangalore,mobile,43.96,4,0,691,43.08,0,0,0
3091.26,6,0,gaming,Delhi,mobile,43.9,3,0,3172,28.93,0,0,0
2845.35,18,1,electronics,Kolkata,mobile,257.35,1,0,1564,36.65,0,0,0
2216.93,19,0,fuel,Pune,tablet,5.09,4,0,3352,56.46,1,0,0
2133.53,13,0,grocery,Bhubaneswar,mobile,400.08,0,0,371,29.0,0,0,0
841.48,12,0,grocery,Pune,web,81.3,3,0,2222,48.79,0,1,0
7967.13,21,0,fuel,Pune,mobile,231.98,1,0,1723,24.56,0,0,0
4986.71,17,1,fuel,Kolkata,mobile,295.92,4,0,2569,62.79,0,0,0
4185.04,23,1,gaming,Kolkata,mobile,730.76,1,1,1651,37.09,0,0,0
3055.13,18,0,food,Bangalore,web,1.37,2,0,2249,29.25,0,0,0
1515.33,2,1,food,Bhubaneswar,web,94.68,4,1,902,11.5,0,0,0
1822.06,4,1,grocery,Pune,web,203.29,1,0,2450,35.29,0,0,0
935.6,9,0,grocery,Kolkata,mobile,69.21,1,0,3131,18.38,0,0,0
2007.55,6,1,fashion,Kolkata,mobile,114.12,3,0,2237,22.7,0,0,0
1340.3,14,1,food,Mumbai,mobile,5.69,4,1,3622,4.03,1,0,0
9451.33,23,0,food,Delhi,mobile,36.82,6,0,2557,78.77,0,0,0
6028.0,22,0,fashion,Delhi,mobile,90.86,1,0,3615,1.7,0,0,0
3553.88,23,0,fuel,Bangalore,mobile,81.16,5,0,3119,22.64,0,0,0
1655.78,23,0,grocery,Delhi,mobile,172.52,3,1,2222,20.24,0,0,0
1400.21,17,0,food,Delhi,mobile,12.68,4,1,2309,6.69,0,0,0
2913.31,13,1,electronics,Chennai,mobile,10.62,2,1,981,29.29,0,1,0
6191.17,17,0,fashion,Hyderabad,web,23.6,1,1,1062,32.45,0,0,0
960.66,8,0,fashion,Bangalore,mobile,29.23,2,0,2228,5.55,0,0,0
4943.36,3,0,electronics,Delhi,mobile,6.12,3,0,2624,37.01,0,0,1
2000.46,21,1,electronics,Bangalore,mobile,9.79,4,0,1581,38.23,0,0,0
2298.76,14,0,gaming,Mumbai,web,15.98,2,1,1206,9.31,0,0,0
3480.75,22,0,gift_card,Kolkata,mobile,1.39,5,0,533,23.59,0,0,0
1702.76,0,0,travel,Mumbai,mobile,268.77,1,2,2309,12.89,0,0,0
2805.95,14,0,grocery,Hyderabad,web,34.22,1,0,3260,27.02,0,0,0
1585.78,23,0,fuel,Chennai,mobile,22.89,2,0,160,30.78,0,0,0
2131.8,10,0,fashion,Hyderabad,mobile,211.7,0,0,855,18.06,0,0,0
5581.11,0,0,fuel,Hyderabad,mobile,370.31,2,0,374,1.47,0,0,0
3610.25,23,0,grocery,Bangalore,mobile,141.45,2,0,590,12.56,0,0,0
5567.31,13,1,electronics,Bangalore,web,27.98,1,0,2273,30.8,1,0,0
1979.68,14,0,fashion,Delhi,mobile,7.88,2,0,1734,33.5,1,0,0
4967.67,16,1,food,Kolkata,mobile,8.64,3,0,584,20.66,0,0,0
736.41,1,1,food,Mumbai,web,6.26,2,0,1069,59.25,0,0,0
3479.65,17,0,food,Mumbai,web,374.08,1,1,2400,43.55,0,0,0
5187.86,19,0,travel,Hyderabad,web,36.15,4,0,1139,16.63,0,1,0
706.45,17,0,fashion,Delhi,web,44.92,2,0,159,8.83,0,0,0
1998.38,21,0,electronics,Mumbai,web,16.66,0,1,800,47.71,0,0,0
3477.92,12,0,fuel,Bangalore,mobile,102.47,6,1,308,19.33,0,0,0
6492.04,6,0,electronics,Bhubaneswar,mobile,3.85,2,2,3171,51.59,1,0,0
2131.58,0,1,travel,Pune,mobile,22.35,1,0,2261,15.81,1,0,0
4838.6,1,0,food,Mumbai,mobile,113.97,5,1,2763,14.16,0,0,0
8298.25,22,0,fashion,Chennai,mobile,70.57,1,0,944,35.34,0,0,0
4988.36,18,1,grocery,Delhi,mobile,83.2,2,0,2983,79.02,0,0,0
2884.98,15,0,grocery,Pune,mobile,33.95,4,0,1875,32.08,0,0,0
4357.89,4,1,gaming,Delhi,mobile,6.14,2,1,2741,42.63,0,0,0
2082.77,1,0,food,Kolkata,mobile,143.98,2,0,656,32.41,0,0,0
3577.48,12,0,fashion,Pune,mobile,7.23,3,1,2693,37.54,1,1,0
